"value","variable","issue_type","uuid"
"5772128","point_number","normal distribution outlier","55e2922d-7e5d-49f6-a79f-199078de0fec"
"106","age_respondent","normal distribution outlier","165bc5e3-48b0-41b9-a245-a91a66f50cf1"
"97","age_head","normal distribution outlier","64f21362-564d-47b8-873d-e05b22cfee15"
"2018","years_of_migration","normal distribution outlier","99cf27b6-acc5-4a62-9a5f-ae2d59353470"
"1400","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","9ee518e2-bcad-4559-bb99-37843b466160"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","ad898cf8-cb11-4361-b3d6-8b3fdeafe7bc"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","ada3ea6b-550e-46d2-9de3-d90b16680cd1"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","437a159a-3149-40b2-b17b-880103fdb1ab"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","dbef2976-86be-4fad-b9ae-9be2f6b6e438"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","5f0aa1e5-4b8c-4680-a240-9dbaff34b1e6"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","9413eee5-a328-43fb-8b0e-83cb8df2e44f"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","92b05d7e-c6bb-4c52-820a-b0eac1d0e478"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","0c839f0f-1f89-43ef-987a-861175d3bda3"
"9999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","96564bad-521b-44c8-bf49-8adfb586ddb0"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","0b591793-f4eb-47dd-8946-d7ee1ce5e7f4"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","df6065f4-1d6f-4662-aec8-752dbf6dabc2"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","67ceabfb-3e1e-461f-8805-79de905c30ad"
"9999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","6f8ad1a8-825a-4eb6-b66d-5c7ac2fe3f0c"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","32cfc62b-a46e-4c10-85df-1744ff02d2ca"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","b3fa626a-891f-4e3b-89c9-7028de280362"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","394b7653-6dd2-41df-8c0e-d7cc1374e404"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","dff7be37-fd8c-437f-b152-d42196c08051"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","78526233-d126-44cd-91c0-33b0ccef24fa"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","07cc0c57-46cc-437a-a868-d13104bbd91e"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","96135e0b-e07b-4799-9a72-992daaefd726"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","906932a0-f8c2-45df-82a5-e9a01ee62284"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","048dbd68-5eeb-4bcd-aeec-001b59a4263f"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","791a41ec-7af7-4c08-b541-32e914788637"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","31c20354-f12a-4d5c-a867-f7c84a90b150"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","0be0a31c-fd07-4ecf-9eac-b0dac50d9a9c"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","a735bcc2-b13a-4e0b-aee4-a63c0ca8e385"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","af0302ec-c44f-49c8-857b-2e4e7688cece"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","2e84305a-257f-40f3-9eea-64f1a94b58b3"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","0d6c0bbb-d3ea-4ac9-af8e-a4c89a1428f8"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","241ba7a7-ff22-4f87-9dd6-268b1050aed3"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","448c0c1b-c29b-43e8-91a2-20fc4d7ae5da"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","a601766b-acae-40d1-b703-47c8d217402c"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","6d5f9348-816b-4b2f-898c-581e2ca25a84"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","9db97d49-9026-4f51-ab91-16bc32410120"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","329f3eb7-6ee2-4a20-8abf-72943dc43c8e"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","d2e7f6c3-3573-40f5-89c8-fc80f7429121"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","6100b359-2fff-4823-976a-3d43580400cd"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","8d4ff629-f32b-4443-b96b-b2e5b1c6d006"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","ba57b49b-2e29-4c7f-a71e-fa4991533691"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","64ac013e-7f8a-4221-8466-33ed7810baa8"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","ecb7be31-d90f-4924-8e2e-b418dab9c6b7"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","6777fd7f-b1e2-4577-9bd0-8871704f17ce"
"999","get_to_nearest_functional_health_facility_in_minutes","normal distribution outlier","57f87037-cd5d-4101-980e-01e6421a14d9"
"150000000","household_total_expenditure_in_lbp","normal distribution outlier","d410da87-5e5a-49cc-abf0-80bbed25fde2"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","250b61dd-8b30-404c-897d-1225b8acc984"
"90000000","household_total_expenditure_in_lbp","normal distribution outlier","7653f3cd-72e4-42fe-8591-411af933432e"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","199c2188-4472-4feb-9987-2cafde632337"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","25565b37-b611-4cdb-9fa9-348a02b2c204"
"70000000","household_total_expenditure_in_lbp","normal distribution outlier","f6d5e64e-8e38-4919-9810-5162b4661965"
"90000000","household_total_expenditure_in_lbp","normal distribution outlier","a8f7d4bd-d183-4e12-9775-89f0d86265b6"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","afb4a399-22bd-43b9-909e-b63c43cc19d5"
"70000000","household_total_expenditure_in_lbp","normal distribution outlier","cb44d676-5c82-4517-9228-ede17fc3d91e"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","c96d4be2-a014-4923-bb70-d8f55a3b72de"
"75000000","household_total_expenditure_in_lbp","normal distribution outlier","211cc613-a928-4a2f-a79e-e9dc6dd71901"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","2320c83b-21c1-4501-93ba-8a393bcdff4a"
"70000000","household_total_expenditure_in_lbp","normal distribution outlier","865d441a-cf1d-445f-a083-841f77f7f4e1"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","18b2dfd0-93a0-488c-80c5-859e10148d93"
"70000000","household_total_expenditure_in_lbp","normal distribution outlier","55a83da4-a7e3-47fa-bccf-81807f6c1f9d"
"100000000","household_total_expenditure_in_lbp","normal distribution outlier","c901b0fa-0449-417e-8806-b24c234aae34"
"120000000","household_total_expenditure_in_lbp","normal distribution outlier","0d3de452-21df-463c-825d-cccfe8bc5b3a"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","6f8856e3-b7a5-46a0-942e-0cfa8591f98c"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","723cfb03-dd5f-47be-ba27-0f8ba05bc9a8"
"65000000","household_total_expenditure_in_lbp","normal distribution outlier","8be08623-dc34-43fd-8a92-79360e49d02c"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","577d718b-ac56-4324-a8e9-e425ccb79fef"
"80000000","household_total_expenditure_in_lbp","normal distribution outlier","43fd42bd-de9a-43ae-b58a-1169a0c9f658"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","c0be5dbc-8590-4715-999f-a89ebecec25c"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","3d47be31-2d33-43f2-8fd2-d0ad4a157460"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","d55585ef-3d25-4e6c-9f58-e9eae7e51567"
"90000000","household_total_expenditure_in_lbp","normal distribution outlier","4c094051-985d-4dbc-921f-418bbd4c89d9"
"80000000","household_total_expenditure_in_lbp","normal distribution outlier","9ae1b82e-7ec7-496e-b6cb-195ccd09136c"
"150000000","household_total_expenditure_in_lbp","normal distribution outlier","2205bcb1-fbe6-4fed-b31a-ef8a76ee21bf"
"100000000","household_total_expenditure_in_lbp","normal distribution outlier","6640f43a-5c95-4ef8-9455-bc08aa14114f"
"220000000","household_total_expenditure_in_lbp","normal distribution outlier","785c2c1b-3f05-48fe-a13b-cad4e8e41aba"
"90000000","household_total_expenditure_in_lbp","normal distribution outlier","8cdd815f-ab5b-438c-b170-80b37c1b7aa3"
"150000000","household_total_expenditure_in_lbp","normal distribution outlier","a563bc50-b883-44db-8e39-e26e5379894c"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","f158d09a-d66c-4150-bd1d-841a78921c33"
"100000000","household_total_expenditure_in_lbp","normal distribution outlier","d183153c-7506-4c17-a4e5-77819dd2433d"
"90000000","household_total_expenditure_in_lbp","normal distribution outlier","336b209d-4c7b-414e-a3a6-6b9086d142db"
"750000000","household_total_expenditure_in_lbp","normal distribution outlier","745c22a2-b382-4a92-bc53-2a469ec5616a"
"90000000","household_total_expenditure_in_lbp","normal distribution outlier","c107c132-86aa-459c-9087-84122216a44c"
"136000000","household_total_expenditure_in_lbp","normal distribution outlier","7455b931-1695-4245-8a93-8a73fc948907"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","940fcafc-d66f-450d-a82a-d0fd46949b39"
"200000000","household_total_expenditure_in_lbp","normal distribution outlier","8ceb6543-1075-46f2-a410-97f6553d93b5"
"150000000","household_total_expenditure_in_lbp","normal distribution outlier","a6aec9a9-ff4f-493e-84cd-ff2a647ba819"
"140000000","household_total_expenditure_in_lbp","normal distribution outlier","19304db9-9b55-42a9-b005-44ab8c3489f2"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","1d36770f-c774-45a3-a8ff-a07f4a8e1638"
"90000000","household_total_expenditure_in_lbp","normal distribution outlier","d2dcae81-5410-4fb7-8f5b-16f1dbca5e70"
"95000000","household_total_expenditure_in_lbp","normal distribution outlier","7256bbd7-8b4a-4151-b025-8992e96e3124"
"250000000","household_total_expenditure_in_lbp","normal distribution outlier","e6ed1bed-41c8-439a-b4c8-67c1c2f37bbb"
"200000000","household_total_expenditure_in_lbp","normal distribution outlier","d4bf32b0-d3ad-412f-be10-937a67e87944"
"90000000","household_total_expenditure_in_lbp","normal distribution outlier","90435fc9-6752-41a9-bda5-9e2d83f30839"
"180000000","household_total_expenditure_in_lbp","normal distribution outlier","fda5fb3c-6e7d-4c76-ad5a-7bbfa0ef7479"
"150000000","household_total_expenditure_in_lbp","normal distribution outlier","080f5373-1bed-48b4-8d1c-81549c34e9df"
"100000000","household_total_expenditure_in_lbp","normal distribution outlier","242f6104-a7af-47f9-9b07-f936be891046"
"70000000","household_total_expenditure_in_lbp","normal distribution outlier","e257155e-501f-42a3-b7b5-f2fd11e73c5e"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","eec18e90-7183-4627-91a2-84ffbd664547"
"80000000","household_total_expenditure_in_lbp","normal distribution outlier","5b311cc8-aec1-447b-80d8-a160fb861c3c"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","cfc1e610-c12e-4f0d-8f2c-de0532264c08"
"80000000","household_total_expenditure_in_lbp","normal distribution outlier","ea1ca932-dd87-4574-83d6-bca7f062b23c"
"90000000","household_total_expenditure_in_lbp","normal distribution outlier","f961eb63-ef04-4aa7-97ed-17056b2ab046"
"70000000","household_total_expenditure_in_lbp","normal distribution outlier","a8855c82-1171-4dbe-804e-ddf3f4ec238b"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","d904a8d9-c49d-4805-ae82-ea7051eb0d9b"
"80000000","household_total_expenditure_in_lbp","normal distribution outlier","56d8f3b4-7cab-42d4-bbc7-373edc3c8286"
"60000000","household_total_expenditure_in_lbp","normal distribution outlier","a24d8a82-b5f7-438e-a714-84f771c96182"
"30000000","medicine_health_products","normal distribution outlier","8028feff-6fd8-419a-b35e-45d9d86f2a23"
"27000000","medicine_health_products","normal distribution outlier","e1af4e36-0fc0-4bb7-9d2d-4b62f58022ef"
"30000000","medicine_health_products","normal distribution outlier","a8f7d4bd-d183-4e12-9775-89f0d86265b6"
"60000000","medicine_health_products","normal distribution outlier","90c4e545-c828-4f2e-9f68-f5cd9cac8c88"
"25000000","medicine_health_products","normal distribution outlier","aa22e2b3-b6b6-4bce-be06-ee2d9833a2ac"
"30000000","medicine_health_products","normal distribution outlier","5f3d24c5-8a6a-4ecc-9c93-cc64cbd7552e"
"30000000","medicine_health_products","normal distribution outlier","25e041d4-527e-436d-9893-ce662e11b7e6"
