uuid,old_value,question,issue,check_id,check_binding,enumerator_num,date_assessment,change_type,new_value
019bc718-c06a-46b8-bba8-c84f6c6efbd5,247.19067 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 019bc718-c06a-46b8-bba8-c84f6c6efbd5,12,44389,remove_survey,NA
019bc718-c06a-46b8-bba8-c84f6c6efbd5,لا ارى جدوى من ذلك,prefer_not_engage_other,recode other,NA,prefer_not_engage_other ~/~ 019bc718-c06a-46b8-bba8-c84f6c6efbd5,12,44389,no_action,NA
019bc718-c06a-46b8-bba8-c84f6c6efbd5,لا اعلم,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 019bc718-c06a-46b8-bba8-c84f6c6efbd5,12,44389,no_action,NA
019bc718-c06a-46b8-bba8-c84f6c6efbd5,السلطات ليست مهتمة بالخدمات,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 019bc718-c06a-46b8-bba8-c84f6c6efbd5,12,44389,no_action,NA
03183d24-0275-43fe-8976-d076f29de590,119.55648 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 03183d24-0275-43fe-8976-d076f29de590,2,44386,remove_survey,NA
03183d24-0275-43fe-8976-d076f29de590,10,pay_water_charges_amount,outlier (log distribution),NA,pay_water_charges_amount ~/~ 03183d24-0275-43fe-8976-d076f29de590,2,44386,change_response,10000
03183d24-0275-43fe-8976-d076f29de590,عدم توفير خدمه المياه  في المنطقه وضعف في تزويد خدمه وعدد ساعات اقل تجهيز للبيوت,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 03183d24-0275-43fe-8976-d076f29de590,2,44386,no_action,NA
0342944a-8719-4a9b-9924-c74767ecd97d,109.92805 mins,duration,Duration is lower or higher than the thresholds,NA,duration ~/~ 0342944a-8719-4a9b-9924-c74767ecd97d,2,44392,remove_survey,NA
03dab2fa-aaaf-4dd8-a2d3-af4abdd9b106,0.567567567567568,percentage_missing,Percentages of missing values from this survey is different from others,NA,percentage_missing ~/~ 03dab2fa-aaaf-4dd8-a2d3-af4abdd9b106,9,44386,no_action,NA
03e9f370-8ba2-4267-8d39-39c6d607cc2b,بسبب قرب تلك المناطق  على المشروع وعلى الانابيب الرئيسية للمشروع,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 03e9f370-8ba2-4267-8d39-39c6d607cc2b,9,44385,no_action,NA
03e9f370-8ba2-4267-8d39-39c6d607cc2b,60000,pay_water_charges_amount,outlier (normal distribution),NA,pay_water_charges_amount ~/~ 03e9f370-8ba2-4267-8d39-39c6d607cc2b,9,44385,no_action,NA
04301938-0851-4ced-a438-9177b16d61e1,0.560810810810811,percentage_missing,Percentages of missing values from this survey is different from others,NA,percentage_missing ~/~ 04301938-0851-4ced-a438-9177b16d61e1,10,44387,no_action,NA
047dc194-0b92-4bfb-8d1e-cec371bcf4a4,توزيع المياه بلتساوي على كافة القضاء,suggestions_improve_services_other,recode other,NA,suggestions_improve_services_other ~/~ 047dc194-0b92-4bfb-8d1e-cec371bcf4a4,9,44391,no_action,NA
047dc194-0b92-4bfb-8d1e-cec371bcf4a4,يتم توفير المياه لمناطق التي تقع في داخل الحدود البلدية لتلعفر لايام اكثر,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 047dc194-0b92-4bfb-8d1e-cec371bcf4a4,9,44391,no_action,NA
04bbe708-2822-4d11-95b1-091d325af146,عدم الاهتمام من قبل دائرة ماء تلعفر لهذا الحي,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 04bbe708-2822-4d11-95b1-091d325af146,1,44392,no_action,NA
04e28a1d-fc2a-4384-b889-e56c498bc485,تم توسيع الشبكة الخاصة بباقي الاحياء على حساب هذا الحي,water_supply_other_neighbourhoods_why,recode other,NA,water_supply_other_neighbourhoods_why ~/~ 04e28a1d-fc2a-4384-b889-e56c498bc485,12,44390,no_action,NA
04e28a1d-fc2a-4384-b889-e56c498bc485,لا يتابعون احوال الحي ولا يستجيبون للشكاوي ولا يقومون باصلاح اي تكسرات,trust_water_office_why_not,recode other,NA,trust_water_office_why_not ~/~ 04e28a1d-fc2a-4384-b889-e56c498bc485,12,44390,no_action,NA
051ffa8d-83c9-481a-9cd5-ba26be41a2a7,20,tank_fill_piped,outlier (normal distribution),NA,tank_fill_piped ~/~ 051ffa8d-83c9-481a-9cd5-ba26be41a2a7,10,44383,no_action,NA
051ffa8d-83c9-481a-9cd5-ba26be41a2a7,5,days_available_piped,outlier (normal distribution),NA,days_available_piped ~/~ 051ffa8d-83c9-481a-9cd5-ba26be41a2a7,10,44383,no_action,NA
